Epoch,Time,Loss,Metrics,Validation
1.0,0.0,1.2288464307785034,0.3083333373069763,0.5
2.0,1.702999999979511,1.0411691665649414,0.3333333432674408,0.5
3.0,1.9689999999245629,0.9005227088928223,0.4000000059604645,0.625
4.0,2.468999999924563,0.7932890057563782,0.5416666865348816,0.625
5.0,2.968999999924563,0.6862694025039673,0.6000000238418579,0.75
6.0,3.23499999998603,0.5969937443733215,0.6333333253860474,0.75
7.0,3.593999999924563,0.522543728351593,0.6499999761581421,0.875
8.0,3.98499999998603,0.4646737575531006,0.675000011920929,0.875
9.0,4.452999999979511,0.42312178015708923,0.7166666388511658,1.0
10.0,4.733999999938533,0.39146173000335693,0.7916666865348816,1.0
11.0,5.483999999938533,0.3658643960952759,0.800000011920929,1.0
12.0,6.0149999998975545,0.34414440393447876,0.8333333134651184,1.0
13.0,6.2649999998975545,0.32368627190589905,0.8500000238418579,1.0
14.0,6.545999999972992,0.3004133999347687,0.8666666746139526,1.0
15.0,6.7649999998975545,0.27669981122016907,0.8833333253860474,1.0
16.0,6.999999999883585,0.25068628787994385,0.9166666865348816,1.0
17.0,7.249999999883585,0.22319261729717255,0.9333333373069763,1.0
18.0,7.484999999869615,0.19471247494220734,0.9416666626930237,1.0
19.0,7.703999999910593,0.16874384880065918,0.949999988079071,1.0
20.0,8.125999999814667,0.14561989903450012,0.9666666388511658,1.0
